,height,name,position,weight
0,80,Brandon Bass,PF,250
1,74,Avery Bradley,PG,180
2,78,Jae Crowder,SF,235
3,81,Jeff Green,SF,235
4,72,Jameer Nelson,PG,190
5,84,Kelly Olynyk,C,238
6,71,Phil Pressey,PG,175
7,76,Marcus Smart,PG,220
8,81,Jared Sullinger,PF,260
9,76,Marcus Thornton,SG,205
10,79,Evan Turner,SG,220
11,79,Gerald Wallace,SF,220
12,78,James Young,SG,215
13,84,Tyler Zeller,C,253
14,78,Alan Anderson,SG,220
15,80,Bojan Bogdanovic,SG,216
16,75,Markel Brown,SG,190
17,83,Kevin Garnett,PF,253
18,75,Jarrett Jack,PG,200
19,81,Cory Jefferson,PF,218
20,79,Joe Johnson,SF,240
21,84,Jerome Jordan,C,253
22,79,Sergey Karasev,SG,208
23,84,Brook Lopez,C,275
24,76,Darius Morris,PG,195
25,83,Mason Plumlee,C,235
26,81,Mirza Teletovic,PF,242
27,75,Deron Williams,PG,200
28,79,Quincy Acy,SF,240
29,83,Cole Aldrich,C,250
30,81,Lou Amundson,PF,225
31,80,Carmelo Anthony,SF,240
32,84,Andrea Bargnani,C,245
33,75,Jose Calderon,PG,200
34,80,Cleanthony Early,SF,220
35,74,Langston Galloway,PG,200
36,78,Tim Hardaway Jr.,SG,210
37,71,Shane Larkin,PG,175
38,75,Pablo Prigioni,PG,185
39,84,Jason Smith,PF,245
40,82,Amar'e Stoudemire,C,245
41,80,Lance Thomas,SF,225
42,82,Travis Wear,SF,225
43,82,Furkan Aldemir,PF,240
44,78,Michael Carter-Williams,PG,190
45,81,Robert Covington,SF,215
46,84,Joel Embiid,C,250
47,80,Jerami Grant,SF,210
48,81,Andrei Kirilenko,SF,235
49,80,Luc Richard Mbah a Moute,PF,230
50,78,K.J. McDaniels,SG,205
51,83,Nerlens Noel,C,228
52,78,Jason Richardson,SG,225
53,81,JaKarr Sampson,SG,214
54,82,Henry Sims,C,248
55,81,Malcolm Thomas,PF,225
56,80,Hollis Thompson,SG,206
57,78,Tony Wroten,SG,205
58,81,Bruno Caboclo,SF,205
59,79,DeMar DeRozan,SG,220
60,79,Landry Fields,SG,215
61,81,Tyler Hansbrough,PF,250
62,78,Chuck Hayes,C,240
63,81,Amir Johnson,PF,240
64,81,James Johnson,PF,250
65,72,Kyle Lowry,PG,205
66,84,Lucas Nogueira,C,220
67,81,Patrick Patterson,PF,235
68,79,Terrence Ross,SF,195
69,83,Greg Stiemsma,C,260
70,84,Jonas Valanciunas,C,255
71,78,Greivis Vasquez,PG,200
72,73,Louis Williams,SG,175
73,75,Leandro Barbosa,SG,194
74,80,Harrison Barnes,SF,225
75,84,Andrew Bogut,C,260
