,height,name,position,weight
0,74,Tony Romo,QB,230
1,77,Dustin Vaughan,QB,235
2,75,Brandon Weeden,QB,228
3,68,Lance Dunbar,RB,195
4,72,DeMarco Murray,RB,217
5,72,Joseph Randle,RB,210
6,74,Tyler Clutts,FB,255
7,68,Cole Beasley,WR,180
8,74,Dez Bryant,WR,220
9,70,Dwayne Harris,WR,202
10,75,Devin Street,WR,200
11,74,Terrance Williams,WR,208
12,78,Gavin Escobar,TE,260
13,76,James Hanna,TE,260
14,78,Jason Witten,TE,261
15,75,Travis Frederick,C,315
16,77,L.P. Ladouceur,C,256
17,78,Doug Free,OT,325
18,76,Donald Hawkins,OT,310
19,77,Tony Hills,OT,304
20,78,Jermey Parnell,OT,315
21,77,Tyron Smith,OT,320
22,77,Darrion Weems,OT,310
23,76,Mackenzy Bernadeau,OG,325
24,75,Ronald Leary,OG,320
25,76,Zack Martin,OG,310
26,76,Kenneth Boatright,DE,253
27,77,Jack Crawford,DE,275
28,76,Ben Gardner,DE,270
29,75,DeMarcus Lawrence,DE,260
30,76,Jeremy Mincey,DE,280
31,76,George Selvie,DE,270
32,75,Anthony Spencer,DE,265
33,74,Josh Brent,DT,320
34,76,Tyrone Crawford,DT,285
35,76,Nick Hayden,DT,303
36,74,Terrell McClain,DT,300
37,75,Henry Melton,DT,290
38,73,Ken Bishop,NT,301
39,74,James Anderson,LB,235
40,74,Bruce Carter,LB,240
41,73,Justin Durant,LB,230
42,72,Anthony Hitchens,LB,235
43,74,DeVonte Holloman,LB,238
44,74,Cameron Lawrence,LB,238
45,74,Sean Lee,LB,234
46,76,Rolando McClain,LB,259
47,74,Dekoda Watson,LB,240
48,76,Kyle Wilber,LB,245
49,72,Brandon Carr,CB,210
50,71,Morris Claiborne,CB,192
51,70,Orlando Scandrick,CB,195
52,70,Sterling Moore,DB,202
53,70,Tyler Patmon,DB,185
54,72,C.J. Spillman,DB,199
55,72,Keith Smith,S,199
56,74,Barry Church,SS,218
57,73,Jeff Heath,SS,212
58,72,J.J. Wilcox,FS,212
59,72,Dan Bailey,PK,195
60,72,Chris Jones,P,205
61,76,Eli Manning,QB,218
62,75,Ryan Nassib,QB,223
63,73,Michael Cox,RB,222
64,72,Orleans Darkwa,RB,215
65,74,Peyton Hillis,RB,250
66,73,Rashad Jennings,RB,231
67,72,Chris Ogbonnaya,RB,225
68,71,Andre Williams,RB,230
69,69,David Wilson,RB,205
70,73,Henry Hynoski,FB,266
71,71,Odell Beckham Jr.,WR,198
72,72,Victor Cruz,WR,204
73,73,Marcus Harris,WR,187
74,68,Jerrel Jernigan,WR,189
75,73,Kevin Ogletree,WR,195
76,72,Preston Parker,WR,200
77,74,Rueben Randle,WR,208
78,76,Corey Washington,WR,214
79,76,Jerome Cunningham,TE,240
80,78,Larry Donnell,TE,265
81,76,Daniel Fells,TE,260
82,76,Adrien Robinson,TE,264
83,76,Zak DeOssie,C,249
84,75,J.D. Walton,C,305
85,78,Will Beatty,OT,319
86,78,Rogers Gaines,OT,239
87,78,Troy Kropog,OT,295
88,76,Justin Pugh,OT,301
89,78,Geoff Schwartz,OT,340
90,78,James Brewer,OG,330
91,74,Adam Gettis,OG,305
92,76,Eric Herman,OG,320
93,77,John Jerry,OG,340
94,77,Brandon Mosley,OG,318
95,76,Dallas Reynolds,OG,320
96,75,Weston Richburg,OG,298
97,78,Adam Snyder,OG,325
98,75,Robert Ayers,DE,275
99,77,Mathias Kiwanuka,DE,267
100,77,Damontre Moore,DE,250
101,77,Jason Pierre-Paul,DE,278
102,77,Kerry Wynn,DE,264
103,75,Jay Bromley,DT,310
104,77,Dominique Hamilton,DT,315
105,74,Johnathan Hankins,DT,320
106,74,Cullen Jenkins,DT,305
107,76,Markus Kuhn,DT,303
108,73,Mike Patterson,DT,300
109,72,Jon Beason,LB,232
110,75,James Davidson,LB,242
111,77,Paul Hazel,LB,227
112,76,Mark Herzlich,LB,246
113,75,Devon Kennard,LB,251
114,74,Terrell Manning,LB,237
115,73,Jameel McClain,LB,245
116,74,Spencer Paysinger,LB,236
117,75,Jacquian Williams,LB,231
118,72,Prince Amukamara,CB,207
119,73,Zack Bowman,CB,196
120,71,Chykie Brown,CB,190
121,72,Chandler Fenner,CB,189
122,70,Jayron Hosley,CB,178
123,73,Travis Howard,CB,200
124,69,Trumaine McBride,CB,185
125,74,Dominique Rodgers-Cromartie,CB,193
126,71,Walter Thurmond III,CB,190
127,70,Mike Harris,DB,188
128,76,Cooper Taylor,S,228
129,72,Nat Berhe,SS,194
130,72,Antrel Rolle,SS,206
131,71,Stevie Brown,FS,215
132,71,Quintin Demps,FS,208
133,72,Josh Brown,PK,202
134,74,Steve Weatherford,P,210
135,74,Matt Barkley,QB,227
136,78,Nick Foles,QB,243
137,74,Mark Sanchez,QB,225
138,71,LeSean McCoy,RB,208
139,71,Chris Polk,RB,222
140,66,Darren Sproles,RB,190
141,76,Riley Cooper,WR,230
142,71,Josh Huff,WR,206
143,72,Jeremy Maclin,WR,198
144,72,Jeff Maehl,WR,184
145,75,Jordan Matthews,WR,212
146,74,Brad Smith,WR,213
147,75,Trey Burton,TE,235
148,75,James Casey,TE,240
149,76,Brent Celek,TE,255
150,77,Zach Ertz,TE,250
151,72,Jon Dorenbos,C,250
152,75,Jason Kelce,C,295
153,73,David Molk,C,290
154,76,Allen Barbre,OT,310
155,78,Lane Johnson,OT,317
156,76,Jason Peters,OT,328
157,78,Andrew Gardner,OG,308
158,78,Todd Herremans,OG,321
159,80,Dennis Kelly,OG,321
160,77,Evan Mathis,OG,298
161,78,Matt Tobin,OG,290
162,74,Julian Vandervelde,OG,300
163,78,Brandon Bair,DE,290
164,76,Fletcher Cox,DE,300
165,75,Vinny Curry,DE,279
166,78,Taylor Hart,DE,281
167,76,Cedric Thornton,DE,309
168,74,Beau Allen,DT,333
169,74,Bennie Logan,DT,315
170,74,Emmanuel Acho,LB,240
171,76,Connor Barwin,LB,264
172,77,Bryan Braman,LB,241
173,75,Trent Cole,LB,270
174,72,Najee Goode,LB,244
175,74,Brandon Graham,LB,265
176,72,Mychal Kendricks,LB,240
177,76,Travis Long,LB,255
178,73,Casey Matthews,LB,245
179,73,DeMeco Ryans,LB,247
180,75,Marcus Smith II,LB,251
181,70,Brandon Boykin,CB,185
182,73,Nolan Carroll II,CB,205
183,72,Bradley Fletcher,CB,200
184,71,Jaylen Watkins,CB,194
185,73,Cary Williams,CB,190
186,73,Jerome Couplin III,DB,215
187,73,Nate Allen,SS,210
188,73,Chris Prosinski,SS,208
189,71,Earl Wolff,SS,210
190,72,Malcolm Jenkins,FS,204
191,70,Chris Maragos,FS,200
192,72,Cody Parkey,PK,193
193,74,Donnie Jones,P,221
194,75,Kirk Cousins,QB,202
195,74,Robert Griffin,QB,222
196,73,Colt McCoy,QB,215
197,71,Roy Helu,RB,215
198,70,Alfred Morris,RB,224
199,70,Silas Redd,RB,212
200,68,Chris Thompson,RB,193
201,71,Darrel Young,FB,251
202,72,Pierre Garcon,WR,216
203,72,Ryan Grant,WR,193
204,74,Leonard Hankerson,WR,211
205,70,DeSean Jackson,WR,178
206,70,Santana Moss,WR,193
207,71,Jerry Rice Jr.,WR,185
208,71,Andre Roberts,WR,187
209,73,Niles Paul,TE,241
210,77,Logan Paulsen,TE,261
211,74,Jordan Reed,TE,237
212,74,Kory Lichtensteiger,C,296
213,72,Nick Sundberg,C,264
214,77,Tom Compton,OT,308
215,78,Morgan Moses,OT,318
216,80,Tyler Polumbus,OT,308
217,77,Trent Williams,OT,337
218,75,Chris Chester,OG,303
219,75,Rishaw Johnson,OG,313
220,75,Shawn Lauvao,OG,315
221,74,Josh LeRibeus,OG,315
222,77,Spencer Long,OG,311
223,77,Stephen Bowen,DE,300
224,76,Kedric Golston,DE,318
225,78,Jason Hatcher,DE,299
226,76,Jackson Jeffcoat,DE,250
227,76,Jarvis Jenkins,DE,315
228,74,Chris Baker,DT,325
229,76,Barry Cofield,DT,303
230,77,Frank Kearse,DT,310
231,74,Chris Neild,DT,328
232,76,Travian Robertson,DT,304
233,74,Steve Beauharnais,LB,230
234,73,Will Compton,LB,230
235,72,Ja'Gared Davis,LB,238
236,73,Adam Hayward,LB,240
237,76,Ryan Kerrigan,LB,260
238,75,Gabe Miller,LB,250
239,77,Trent Murphy,LB,258
240,76,Brian Orakpo,LB,257
241,72,Perry Riley Jr.,LB,238
242,75,Keenan Robinson,LB,238
243,73,Trevardo Williams,LB,237
244,73,David Amerson,CB,205
245,71,Bashaud Breeland,CB,197
246,70,DeAngelo Hall,CB,198
247,71,Tracy Porter,CB,188
248,75,Courtney Bridget,DB,195
249,73,Akeem Davis,DB,200
250,73,Duke Ihenacho,DB,207
251,72,Tanard Jackson,DB,193
252,73,Kenny Okoro,DB,190
253,71,Justin Rogers,DB,181
254,71,Brandon Meriweather,SS,197
255,72,Phillip Thomas,SS,223
